ber,exact_period,exact_code,stat_tracking,implied_ber,stat_blind
0.0,1.0,1.0,1.0,0.0,1.0
0.0005,1.0,0.0,1.0,0.0005278357577033655,1.0
0.001,1.0,0.0,1.0,0.0010587217165743512,1.0
0.002,1.0,0.0,1.0,0.002063998852933402,1.0
0.003,1.0,0.0,1.0,0.0029727078864010157,1.0
0.005,0.25,0.0,1.0,0.004902438318010294,1.0
0.0075,0.0,0.0,1.0,0.00735191859242289,1.0
0.01,0.0,0.0,1.0,0.009754932819366503,1.0
0.02,0.0,0.0,1.0,0.01979476057386993,1.0
0.03,0.0,0.0,1.0,0.029872074024684236,1.0
0.05,0.0,0.0,0.0,nan,0.0
0.07,0.0,0.0,0.0,nan,0.0
0.1,0.0,0.0,0.0,nan,0.0
