file,corrupt_top,s0_ok,s2_ok,s2_rate_hz,true_rate_hz,rate_err_pct,chain_runs,scheme_found,true_scheme,scheme_ok,interleaver_ok,generators_ok,false_positive,seconds
16qam_20dB_2023,0,1,1,50000.0,50000.0,0.0,4,16qam,16qam,1,1,1,0,74.4
2fsk_20dB_2029,0,1,1,50000.0,50000.0,0.0,5,2fsk,2fsk,1,1,1,0,53.9
4fsk_20dB_2035,0,1,1,50000.0,50000.0,0.0,6,4fsk,4fsk,1,1,1,0,9.5
8psk_20dB_2017,0,1,1,50000.0,50000.0,0.0,3,8psk,8psk,1,1,1,0,46.7
bpsk_20dB_2005,0,1,1,50000.0,50000.0,0.0,1,bpsk,bpsk,1,1,1,0,2.2
qpsk_20dB_2011,0,1,1,50000.0,50000.0,0.0,2,qpsk,qpsk,1,1,1,0,19.5
16qam_20dB_2023,1,1,1,50000.0,50000.0,0.0,16,16qam,16qam,1,1,1,0,93.3
2fsk_20dB_2029,1,1,1,50000.0,50000.0,0.0,10,-,2fsk,0,0,0,0,123.1
4fsk_20dB_2035,1,1,1,50000.0,50000.0,0.0,18,4fsk,4fsk,1,1,1,0,44.1
8psk_20dB_2017,1,1,1,50000.0,50000.0,0.0,15,8psk,8psk,1,1,1,0,74.3
bpsk_20dB_2005,1,1,1,50000.0,50000.0,0.0,10,-,bpsk,0,0,0,0,124.9
qpsk_20dB_2011,1,1,1,50000.0,50000.0,0.0,14,qpsk,qpsk,1,1,1,0,52.2
