ber,mean_burst,exact_period,stat_tracking,full_pipeline
0.0,1,1.0,1.0,1.0
0.0,5,1.0,1.0,1.0
0.0,20,1.0,1.0,1.0
0.0,100,1.0,1.0,1.0
0.001,1,1.0,1.0,0.0
0.001,5,1.0,1.0,0.16666666666666666
0.001,20,1.0,1.0,0.5
0.001,100,1.0,1.0,0.8333333333333334
0.002,1,1.0,1.0,0.0
0.002,5,1.0,1.0,0.0
0.002,20,1.0,1.0,0.16666666666666666
0.002,100,1.0,1.0,0.8333333333333334
0.003,1,1.0,1.0,0.0
0.003,5,1.0,1.0,0.0
0.003,20,1.0,1.0,0.16666666666666666
0.003,100,1.0,1.0,0.6666666666666666
0.005,1,0.6666666666666666,1.0,0.0
0.005,5,1.0,1.0,0.0
0.005,20,1.0,1.0,0.16666666666666666
0.005,100,1.0,1.0,0.5
0.0075,1,0.0,1.0,0.0
0.0075,5,1.0,1.0,0.0
0.0075,20,1.0,1.0,0.0
0.0075,100,1.0,1.0,0.3333333333333333
0.01,1,0.0,1.0,0.0
0.01,5,0.5,1.0,0.0
0.01,20,1.0,1.0,0.0
0.01,100,1.0,1.0,0.16666666666666666
0.02,1,0.0,1.0,0.0
0.02,5,0.0,1.0,0.0
0.02,20,1.0,1.0,0.16666666666666666
0.02,100,1.0,1.0,0.16666666666666666
0.03,1,0.0,1.0,0.0
0.03,5,0.0,1.0,0.0
0.03,20,0.5,1.0,0.0
0.03,100,1.0,1.0,0.16666666666666666
0.05,1,0.0,0.0,0.0
0.05,5,0.0,1.0,0.0
0.05,20,0.0,1.0,0.0
0.05,100,1.0,1.0,0.0
