K,K_code,arm,candidate_rank,case,f1,f2,family,ok,params,period,seconds,status,verdict
40,7,lte,,,3,10,qpp,True,"{'period': 40, 'f1': 3, 'f2': 10}",40,2.89,ok,
56,7,lte,,,19,42,qpp,True,"{'period': 56, 'f1': 19, 'f2': 42}",56,0.33,ok,
64,7,lte,,,7,16,qpp,True,"{'period': 64, 'f1': 7, 'f2': 16}",64,0.41,ok,
80,7,lte,,,11,20,qpp,True,"{'period': 80, 'f1': 11, 'f2': 20}",80,0.36,ok,
96,7,lte,,,11,24,qpp,True,"{'period': 96, 'f1': 11, 'f2': 24}",96,0.41,ok,
112,7,lte,,,41,84,qpp,True,"{'period': 112, 'f1': 41, 'f2': 84}",112,0.38,ok,
128,7,lte,,,15,32,qpp,True,"{'period': 128, 'f1': 15, 'f2': 32}",128,1.2,ok,
144,7,lte,,,17,108,qpp,True,"{'period': 144, 'f1': 17, 'f2': 108}",144,0.62,ok,
160,7,lte,,,21,120,qpp,True,"{'period': 160, 'f1': 21, 'f2': 120}",160,0.66,ok,
176,7,lte,,,21,44,qpp,True,"{'period': 176, 'f1': 21, 'f2': 44}",176,0.95,ok,
192,7,lte,,,23,48,qpp,True,"{'period': 192, 'f1': 23, 'f2': 48}",192,1.45,ok,
208,7,lte,,,27,52,qpp,True,"{'period': 208, 'f1': 27, 'f2': 52}",208,1.16,ok,
224,7,lte,,,27,56,qpp,True,"{'period': 224, 'f1': 27, 'f2': 56}",224,1.27,ok,
240,7,lte,,,29,60,qpp,True,"{'period': 240, 'f1': 29, 'f2': 60}",240,1.36,ok,
256,7,lte,,,15,32,qpp,True,"{'period': 256, 'f1': 15, 'f2': 32}",256,3.47,ok,
288,7,lte,,,19,36,qpp,True,"{'period': 288, 'f1': 19, 'f2': 36}",288,2.84,ok,
32,7,relprime,,,5,0,qpp,True,"{'period': 32, 'f1': 5, 'f2': 0}",32,0.39,ok,
40,7,relprime,,,7,0,qpp,True,"{'period': 40, 'f1': 7, 'f2': 0}",40,0.28,ok,
48,7,relprime,,,11,0,qpp,True,"{'period': 48, 'f1': 11, 'f2': 0}",48,0.38,ok,
64,7,relprime,,,9,0,qpp,True,"{'period': 64, 'f1': 9, 'f2': 0}",64,0.39,ok,
72,7,relprime,,,25,0,qpp,True,"{'period': 72, 'f1': 25, 'f2': 0}",72,0.52,ok,
80,7,relprime,,,13,0,qpp,True,"{'period': 80, 'f1': 13, 'f2': 0}",80,0.28,ok,
96,7,relprime,,,25,0,qpp,True,"{'period': 96, 'f1': 25, 'f2': 0}",96,0.38,ok,
120,7,relprime,,,49,0,qpp,True,"{'period': 120, 'f1': 49, 'f2': 0}",120,0.55,ok,
128,7,relprime,,,37,0,qpp,True,"{'period': 128, 'f1': 37, 'f2': 0}",128,1.08,ok,
160,7,relprime,,,59,0,qpp,True,"{'period': 160, 'f1': 59, 'f2': 0}",160,0.94,ok,
192,7,relprime,,,71,0,qpp,True,"{'period': 192, 'f1': 71, 'f2': 0}",192,1.05,ok,
256,7,relprime,,,101,0,qpp,True,"{'period': 256, 'f1': 101, 'f2': 0}",256,3.16,ok,
192,7,open,73,,97,144,qpp,True,"{'period': 192, 'f1': 1, 'f2': 48}",192,2.7,ok,
128,7,open,778,,23,66,qpp,True,"{'period': 128, 'f1': 23, 'f2': 66}",128,1.14,ok,
192,7,open,978,,187,180,qpp,True,"{'period': 192, 'f1': 91, 'f2': 84}",192,1.09,ok,
128,7,open,1339,,41,72,qpp,True,"{'period': 128, 'f1': 41, 'f2': 72}",128,0.8,ok,
128,7,open,1240,,37,122,qpp,True,"{'period': 128, 'f1': 37, 'f2': 122}",128,0.8,ok,
128,7,open,1458,,45,60,qpp,True,"{'period': 128, 'f1': 45, 'f2': 60}",128,0.8,ok,
48,7,open,29,,29,18,qpp,True,"{'period': 48, 'f1': 5, 'f2': 42}",48,0.44,ok,
192,7,open,642,,59,48,qpp,True,"{'period': 192, 'f1': 59, 'f2': 48}",192,1.05,ok,
128,7,open,1264,,39,44,qpp,True,"{'period': 128, 'f1': 39, 'f2': 44}",128,1.2,ok,
96,7,open,128,,67,30,qpp,True,"{'period': 96, 'f1': 19, 'f2': 78}",96,0.41,ok,
192,7,open,748,,67,150,qpp,True,"{'period': 192, 'f1': 67, 'f2': 150}",192,1.08,ok,
192,7,open,451,,133,72,qpp,True,"{'period': 192, 'f1': 37, 'f2': 168}",192,1.12,ok,
96,,keyed,,,,,,True,,96,12.08,low_confidence,period-only
96,,keyed,,,,,,True,,96,11.49,low_confidence,period-only
96,,keyed,,,,,,True,,96,11.81,low_confidence,period-only
96,,keyed,,,,,,True,,96,11.83,low_confidence,period-only
96,,keyed,,,,,,True,,96,11.94,low_confidence,period-only
96,,keyed,,,,,,True,,96,12.09,low_confidence,period-only
96,,keyed,,,,,,True,,96,12.01,low_confidence,period-only
96,,keyed,,,,,,True,,96,12.41,low_confidence,period-only
,7,regress,,block 8x12,,,block,True,"{'depth': 8, 'width': 12}",96,0.42,ok,
,7,regress,,diagonal 8x12,,,diagonal,True,"{'depth': 8, 'width': 12}",96,0.42,ok,
,7,regress,,convolutional 4x1,,,convolutional,True,"{'branches': 4, 'delay': 1}",20,0.61,ok,
,7,regress,,raw coded,,,,True,,14,0.48,ok,
,,regress,,uncoded random,,,,True,,,9.02,failed,
96,,cost,,,,,,True,,,0.0076,,
