case,seed,path,plugin,declared_fs,raised,status,modulation,chain_runs,n_llrs,finite,rate_used,ber,secs,trace
control: clean qpsk,0,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.99515352464,0.0,1.055277300067246,
control: clean qpsk,0,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2702302001416683,
control: clean qpsk,0,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.4998841998167336,
control: clean qpsk,0,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.7546251001767814,
control: clean qpsk,0,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.6350557999685407,
control: clean qpsk,0,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.08076079981401563,
control: clean qpsk,0,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.10302449995651841,
control: clean qpsk,1,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.99834763731,0.0,0.964153400156647,
control: clean qpsk,1,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.468278200365603,
control: clean qpsk,1,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.5059277000837028,
control: clean qpsk,1,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.7402957999147475,
control: clean qpsk,1,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.6033816998824477,
control: clean qpsk,1,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.0751307001337409,
control: clean qpsk,1,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.11617649998515844,
control: clean qpsk,2,blind search,,200000.0,,ok,qpsk,1,57772,True,50000.00365234455,0.0,0.9201166001148522,
control: clean qpsk,2,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.3871927000582218,
control: clean qpsk,2,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.6011235998012125,
control: clean qpsk,2,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.7305312003009021,
control: clean qpsk,2,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.6610737000592053,
control: clean qpsk,2,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.0773302000015974,
control: clean qpsk,2,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.10859770001843572,
control: clean qpsk,3,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.99858705233,0.0,0.9674300998449326,
control: clean qpsk,3,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.4228290999308228,
control: clean qpsk,3,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.532701499760151,
control: clean qpsk,3,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.8812349997460842,
control: clean qpsk,3,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.6311413999646902,
control: clean qpsk,3,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.07508200034499168,
control: clean qpsk,3,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.1055340999737382,
control: clean qpsk,4,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.992260875995,0.0,0.9583589001558721,
control: clean qpsk,4,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.450997400097549,
control: clean qpsk,4,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.4923108001239598,
control: clean qpsk,4,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.6980130998417735,
control: clean qpsk,4,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.673386599868536,
control: clean qpsk,4,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.08897599996998906,
control: clean qpsk,4,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.11134939966723323,
control: clean qpsk,5,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.99111366944,0.0,1.0124373999424279,
control: clean qpsk,5,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.3856457001529634,
control: clean qpsk,5,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.4298915001563728,
control: clean qpsk,5,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.8331265999004245,
control: clean qpsk,5,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.501480400096625,
control: clean qpsk,5,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.06880569970235229,
control: clean qpsk,5,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.09815800003707409,
control: clean qpsk,6,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.001466144204,0.0,0.8546287999488413,
control: clean qpsk,6,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2630598000250757,
control: clean qpsk,6,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.3030723999254405,
control: clean qpsk,6,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.5431572003290057,
control: clean qpsk,6,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.486523499712348,
control: clean qpsk,6,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.07154770009219646,
control: clean qpsk,6,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.09471130045130849,
control: clean qpsk,7,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.9959430383,0.0,0.9680681000463665,
control: clean qpsk,7,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2790367999114096,
control: clean qpsk,7,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.4421208002604544,
control: clean qpsk,7,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.6322654001414776,
control: clean qpsk,7,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.496540800202638,
control: clean qpsk,7,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.08052449999377131,
control: clean qpsk,7,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.10767930001020432,
pure noise,0,blind search,,200000.0,,failed,,0,0,,,,0.17327600019052625,
pure noise,0,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009048200212419033,
pure noise,0,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.009966100100427866,
pure noise,0,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.010683400090783834,
pure noise,0,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.011376900132745504,
pure noise,0,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.031035900115966797,
pure noise,0,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.029283400159329176,
pure noise,1,blind search,,200000.0,,failed,2fsk,2,0,,58953.85742187499,,0.23350619990378618,
pure noise,1,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009467700030654669,
pure noise,1,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.008141499944031239,
pure noise,1,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.01055660005658865,
pure noise,1,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008918900042772293,
pure noise,1,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.028948199935257435,
pure noise,1,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.028395799919962883,
pure noise,2,blind search,,200000.0,,failed,,0,0,,,,0.1575482003390789,
pure noise,2,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.010793900117278099,
pure noise,2,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.009074199944734573,
pure noise,2,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.008662300184369087,
pure noise,2,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.009298999793827534,
pure noise,2,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.028174299746751785,
pure noise,2,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.029438999947160482,
pure noise,3,blind search,,200000.0,,failed,,0,0,,,,0.1442199000157416,
pure noise,3,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009142799768596888,
pure noise,3,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.008717499673366547,
pure noise,3,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.010780399665236473,
