scheme,snr_db,measured_ber,ideal_mf,gap_mf,ideal_raw,gap_raw
16qam,4,0.423108,5.862e-02,7.22,1.794e-01,2.36
16qam,8,0.012388,9.247e-03,1.34,9.798e-02,0.13
16qam,10,0.002558,1.754e-03,1.46,5.899e-02,0.04
16qam,13,0.0,2.423e-05,0.0,1.716e-02,0.0
16qam,15,0.0,1.842e-07,0.0,4.465e-03,0.0
16qam,20,0.0,1.404e-19,,2.904e-06,0.0
2fsk,4,0.003756,3.290e-03,1.14,1.424e-01,0.03
2fsk,8,0.0,1.654e-06,0.0,2.132e-02,0.0
2fsk,10,0.0,1.031e-09,0.0,3.369e-03,0.0
2fsk,13,0.0,2.335e-18,,2.324e-05,0.0
2fsk,15,0.0,1.705e-28,,6.795e-08,0.0
2fsk,20,0.0,6.919e-88,,9.644e-23,
4fsk,4,0.005714,5.847e-03,0.98,1.852e-01,0.03
4fsk,8,0.0,3.276e-06,0.0,3.418e-02,0.0
4fsk,10,0.0,2.059e-09,0.0,5.982e-03,0.0
4fsk,13,0.0,4.671e-18,,4.543e-05,0.0
4fsk,15,0.0,3.410e-28,,1.354e-07,0.0
4fsk,20,0.0,1.384e-87,,1.929e-22,
8psk,4,0.358123,2.875e-02,12.46,1.303e-01,2.75
8psk,8,0.002956,2.184e-03,1.35,5.800e-02,0.05
8psk,10,0.000301,2.066e-04,1.46,2.900e-02,0.01
8psk,13,0.0,4.441e-07,0.0,5.210e-03,0.0
8psk,15,0.0,3.841e-10,0.0,7.798e-04,0.0
8psk,20,0.0,8.839e-28,,2.078e-08,0.0
bpsk,4,0.0,3.684e-06,0.0,1.250e-02,0.0
bpsk,8,0.0,6.030e-13,,1.909e-04,0.0
bpsk,10,0.0,1.872e-19,,3.872e-06,0.0
bpsk,13,0.0,6.846e-37,,1.333e-10,0.0
bpsk,15,0.0,2.906e-57,,9.124e-16,
bpsk,20,0.0,2.698e-176,,1.044e-45,
qpsk,4,0.001052,7.628e-04,1.38,5.650e-02,0.02
qpsk,8,0.0,2.533e-07,0.0,6.004e-03,0.0
qpsk,10,0.0,1.270e-10,0.0,7.827e-04,0.0
qpsk,13,0.0,2.060e-19,,3.969e-06,0.0
qpsk,15,0.0,1.200e-29,,9.361e-09,0.0
qpsk,20,0.0,2.754e-89,,7.620e-24,
