scheme,snr_db,residual_x_rs,loop_bw,measured_ber
qpsk,4.0,0.0,0.02,0.00085
qpsk,4.0,0.0,0.01,0.0008
qpsk,4.0,0.0,0.005,0.0009
qpsk,4.0,0.0,0.002,0.00085
qpsk,4.0,0.005,0.02,0.0011
qpsk,4.0,0.005,0.01,0.0011
qpsk,4.0,0.005,0.005,0.00105
qpsk,4.0,0.005,0.002,0.48415
qpsk,4.0,0.01,0.02,0.0013
qpsk,4.0,0.01,0.01,0.001
qpsk,4.0,0.01,0.005,0.00115
qpsk,4.0,0.01,0.002,0.4847
qpsk,4.0,0.02,0.02,0.0012
qpsk,4.0,0.02,0.01,0.00095
qpsk,4.0,0.02,0.005,0.4845
qpsk,4.0,0.02,0.002,0.4847
qpsk,4.0,0.03,0.02,0.00115
qpsk,4.0,0.03,0.01,0.0009
qpsk,4.0,0.03,0.005,0.48415
qpsk,4.0,0.03,0.002,0.48425
qpsk,8.0,0.0,0.02,0.0
qpsk,8.0,0.0,0.01,0.0
qpsk,8.0,0.0,0.005,0.0
qpsk,8.0,0.0,0.002,0.0
qpsk,8.0,0.005,0.02,0.0
qpsk,8.0,0.005,0.01,0.0
qpsk,8.0,0.005,0.005,0.0
qpsk,8.0,0.005,0.002,0.00015
qpsk,8.0,0.01,0.02,0.0
qpsk,8.0,0.01,0.01,0.0
qpsk,8.0,0.01,0.005,0.0
qpsk,8.0,0.01,0.002,0.4842
qpsk,8.0,0.02,0.02,0.0
qpsk,8.0,0.02,0.01,0.0
qpsk,8.0,0.02,0.005,0.0
qpsk,8.0,0.02,0.002,0.4846
qpsk,8.0,0.03,0.02,0.0
qpsk,8.0,0.03,0.01,0.0
qpsk,8.0,0.03,0.005,0.4837
qpsk,8.0,0.03,0.002,0.48515
qpsk,20.0,0.0,0.02,0.0
qpsk,20.0,0.0,0.01,0.0
qpsk,20.0,0.0,0.005,0.0
qpsk,20.0,0.0,0.002,0.0
qpsk,20.0,0.005,0.02,0.0
qpsk,20.0,0.005,0.01,0.0
qpsk,20.0,0.005,0.005,0.0
qpsk,20.0,0.005,0.002,0.0
qpsk,20.0,0.01,0.02,0.0
qpsk,20.0,0.01,0.01,0.0
qpsk,20.0,0.01,0.005,0.0
qpsk,20.0,0.01,0.002,0.485
qpsk,20.0,0.02,0.02,0.0
qpsk,20.0,0.02,0.01,0.0
qpsk,20.0,0.02,0.005,0.0
qpsk,20.0,0.02,0.002,0.48485
qpsk,20.0,0.03,0.02,0.0
qpsk,20.0,0.03,0.01,0.0
qpsk,20.0,0.03,0.005,0.48455
qpsk,20.0,0.03,0.002,0.4833
8psk,4.0,0.0,0.02,0.36845
8psk,4.0,0.0,0.01,0.03315
8psk,4.0,0.0,0.005,0.03125
8psk,4.0,0.0,0.002,0.0299
8psk,4.0,0.005,0.02,0.12035
8psk,4.0,0.005,0.01,0.482
8psk,4.0,0.005,0.005,0.48315
8psk,4.0,0.005,0.002,0.4836
8psk,4.0,0.01,0.02,0.3325
8psk,4.0,0.01,0.01,0.4836
8psk,4.0,0.01,0.005,0.4837
8psk,4.0,0.01,0.002,0.4832
8psk,4.0,0.02,0.02,0.4818
8psk,4.0,0.02,0.01,0.48355
8psk,4.0,0.02,0.005,0.4835
8psk,4.0,0.02,0.002,0.48375
8psk,4.0,0.03,0.02,0.48285
8psk,4.0,0.03,0.01,0.48355
8psk,4.0,0.03,0.005,0.483
8psk,4.0,0.03,0.002,0.48295
8psk,8.0,0.0,0.02,0.00275
8psk,8.0,0.0,0.01,0.0026
8psk,8.0,0.0,0.005,0.0025
8psk,8.0,0.0,0.002,0.0026
8psk,8.0,0.005,0.02,0.00295
8psk,8.0,0.005,0.01,0.00265
8psk,8.0,0.005,0.005,0.4827
8psk,8.0,0.005,0.002,0.4827
8psk,8.0,0.01,0.02,0.003
8psk,8.0,0.01,0.01,0.004137
8psk,8.0,0.01,0.005,0.4837
8psk,8.0,0.01,0.002,0.4831
8psk,8.0,0.02,0.02,0.0029
8psk,8.0,0.02,0.01,0.4833
8psk,8.0,0.02,0.005,0.4828
8psk,8.0,0.02,0.002,0.4831
8psk,8.0,0.03,0.02,0.00355
8psk,8.0,0.03,0.01,0.482
8psk,8.0,0.03,0.005,0.48265
8psk,8.0,0.03,0.002,0.4837
8psk,20.0,0.0,0.02,0.0
8psk,20.0,0.0,0.01,0.0
8psk,20.0,0.0,0.005,0.0
8psk,20.0,0.0,0.002,0.0
8psk,20.0,0.005,0.02,0.0
8psk,20.0,0.005,0.01,0.0
8psk,20.0,0.005,0.005,0.0
8psk,20.0,0.005,0.002,0.48355
8psk,20.0,0.01,0.02,0.0
8psk,20.0,0.01,0.01,0.0
8psk,20.0,0.01,0.005,0.48285
8psk,20.0,0.01,0.002,0.4836
8psk,20.0,0.02,0.02,0.0
8psk,20.0,0.02,0.01,0.0
8psk,20.0,0.02,0.005,0.4834
8psk,20.0,0.02,0.002,0.4833
8psk,20.0,0.03,0.02,0.0
8psk,20.0,0.03,0.01,0.484
8psk,20.0,0.03,0.005,0.4833
8psk,20.0,0.03,0.002,0.48215
16qam,4.0,0.0,0.02,0.37275
16qam,4.0,0.0,0.01,0.2937
16qam,4.0,0.0,0.005,0.0768
16qam,4.0,0.0,0.002,0.06275
16qam,4.0,0.005,0.02,0.42315
16qam,4.0,0.005,0.01,0.42305
16qam,4.0,0.005,0.005,0.4238
16qam,4.0,0.005,0.002,0.4239
16qam,4.0,0.01,0.02,0.42315
16qam,4.0,0.01,0.01,0.424
16qam,4.0,0.01,0.005,0.4257
16qam,4.0,0.01,0.002,0.42545
16qam,4.0,0.02,0.02,0.4236
16qam,4.0,0.02,0.01,0.4261
16qam,4.0,0.02,0.005,0.42195
16qam,4.0,0.02,0.002,0.4243
16qam,4.0,0.03,0.02,0.42425
16qam,4.0,0.03,0.01,0.4219
16qam,4.0,0.03,0.005,0.42365
16qam,4.0,0.03,0.002,0.4247
16qam,8.0,0.0,0.02,0.01295
16qam,8.0,0.0,0.01,0.01165
16qam,8.0,0.0,0.005,0.01105
16qam,8.0,0.0,0.002,0.01065
16qam,8.0,0.005,0.02,0.015
16qam,8.0,0.005,0.01,0.41715
16qam,8.0,0.005,0.005,0.4149
16qam,8.0,0.005,0.002,0.41485
16qam,8.0,0.01,0.02,0.01345
16qam,8.0,0.01,0.01,0.41615
16qam,8.0,0.01,0.005,0.41645
16qam,8.0,0.01,0.002,0.4168
16qam,8.0,0.02,0.02,0.4166
16qam,8.0,0.02,0.01,0.41635
16qam,8.0,0.02,0.005,0.4179
16qam,8.0,0.02,0.002,0.4163
16qam,8.0,0.03,0.02,0.41645
16qam,8.0,0.03,0.01,0.418
16qam,8.0,0.03,0.005,0.41645
16qam,8.0,0.03,0.002,0.4175
16qam,20.0,0.0,0.02,0.0
16qam,20.0,0.0,0.01,0.0
16qam,20.0,0.0,0.005,0.0
16qam,20.0,0.0,0.002,0.0
16qam,20.0,0.005,0.02,0.0
16qam,20.0,0.005,0.01,0.0
16qam,20.0,0.005,0.005,0.41245
16qam,20.0,0.005,0.002,0.40945
16qam,20.0,0.01,0.02,0.0
16qam,20.0,0.01,0.01,0.00015
16qam,20.0,0.01,0.005,0.4124
16qam,20.0,0.01,0.002,0.4115
16qam,20.0,0.02,0.02,0.0
16qam,20.0,0.02,0.01,0.4105
16qam,20.0,0.02,0.005,0.4124
16qam,20.0,0.02,0.002,0.41135
16qam,20.0,0.03,0.02,0.0
16qam,20.0,0.03,0.01,0.4129
16qam,20.0,0.03,0.005,0.41035
16qam,20.0,0.03,0.002,0.4118
