file,modulation,snr_db,sps,status,carrier_lock,evm_percent,timing_converged_at,rolloff_beta,equaliser,carrier_settled_at,n_llrs,estimated_ber,measured_ber,elapsed_ms,reason
bpsk_20dB_sps4,bpsk,20,4,ok,0.9809,10.547,817,0.3535,cma,128,298759,0.0,0.0,5944.0,
bpsk_16dB_sps4,bpsk,16,4,ok,0.9747,12.717,816,0.3535,cma,128,298759,0.0,0.0,5979.5,
bpsk_13dB_sps4,bpsk,13,4,ok,0.9658,15.419,104,0.3535,cma,128,298759,0.0,0.0,6007.1,
bpsk_10dB_sps4,bpsk,10,4,ok,0.9488,19.603,92,0.3535,cma,128,298759,0.0,0.0,6006.8,
bpsk_8dB_sps4,bpsk,8,4,ok,0.9294,23.479,0,0.3535,cma,128,298759,0.0,0.0,6101.0,
qpsk_20dB_sps4,qpsk,20,4,ok,0.9891,5.158,110,0.3484,cma,0,297774,0.0,0.0,3350.1,
qpsk_16dB_sps4,qpsk,16,4,ok,0.973,8.143,82,0.3484,cma,0,297774,0.0,0.0,3153.6,
qpsk_13dB_sps4,qpsk,13,4,ok,0.9468,11.467,0,0.3484,cma,0,297774,0.0,0.0,3088.1,
qpsk_10dB_sps4,qpsk,10,4,ok,0.8964,16.12,0,0.3484,cma,0,297774,0.0,0.0,3130.1,
qpsk_8dB_sps4,qpsk,8,4,ok,0.8401,20.189,0,0.3484,cma,0,297774,2e-06,0.0,3130.5,
qpsk_20dB_sps8,qpsk,20,8,ok,0.994,3.707,102,0.3484,cma,128,297518,0.0,0.0,3196.0,
qpsk_16dB_sps8,qpsk,16,8,ok,0.9852,5.838,102,0.3484,cma,128,297518,0.0,0.0,3168.6,
qpsk_13dB_sps8,qpsk,13,8,ok,0.9708,8.218,102,0.3484,cma,128,297518,0.0,0.0,3187.3,
qpsk_10dB_sps8,qpsk,10,8,ok,0.9425,11.562,102,0.3484,cma,128,297518,0.0,0.0,3156.3,
qpsk_8dB_sps8,qpsk,8,8,ok,0.9102,14.502,0,0.3484,cma,128,297518,0.0,0.0,3168.6,
8psk_20dB_sps4,8psk,20,4,ok,0.9568,5.138,793,0.3535,cma,128,296277,0.0,0.0,2481.7,
8psk_16dB_sps4,8psk,16,4,ok,0.8953,8.115,106,0.3535,cma,256,295893,0.0,0.0,2412.6,
8psk_13dB_sps4,8psk,13,4,ok,0.8016,11.431,89,0.3535,cma,256,295893,3e-06,0.0,2429.5,
8psk_10dB_sps4,8psk,10,4,ok,0.6415,16.059,89,0.3535,cma,640,294741,0.000279,0.00025,2447.3,
8psk_8dB_sps4,8psk,8,4,low_confidence,0.4894,20.041,0,0.3535,cma,0,296661,0.002959,0.04785,2414.8,carrier lock 0.49 below 0.60
16qam_22dB_sps4,16qam,22,4,ok,0.9222,6.28,408,0.3484,mma,512,291100,0.0,0.0,1761.8,
16qam_18dB_sps4,16qam,18,4,ok,0.917,8.093,803,0.3484,mma,512,291100,2e-06,2.5e-05,1785.8,
16qam_15dB_sps4,16qam,15,4,ok,0.9074,10.389,813,0.3484,mma,1536,287004,9e-06,0.0,1738.7,
16qam_13dB_sps4,16qam,13,4,ok,0.8649,12.543,813,0.3535,mma,1408,287516,0.000143,0.0002,1727.7,
2fsk_16dB_sps8,2fsk,16,8,ok,0.9504,,,,none,0,299999,0.0,0.0,400.1,
2fsk_12dB_sps8,2fsk,12,8,ok,0.9216,,,,none,0,299999,0.0,0.0,381.0,
2fsk_8dB_sps8,2fsk,8,8,ok,0.8761,,,,none,0,299999,0.0,0.0,375.3,
2fsk_5dB_sps8,2fsk,5,8,ok,0.8258,,,,none,0,299999,1e-06,0.0,365.4,
4fsk_18dB_sps8,4fsk,18,8,ok,0.9425,,,,none,0,299998,0.0,0.0,261.0,
4fsk_14dB_sps8,4fsk,14,8,ok,0.909,,,,none,0,299998,0.0,0.0,262.8,
4fsk_10dB_sps8,4fsk,10,8,ok,0.8561,,,,none,0,299998,0.0,0.0,254.7,
4fsk_7dB_sps8,4fsk,7,8,ok,0.7975,,,,none,0,299998,0.0,0.0,282.1,
