file,modulation,snr_db,bin_lo,bin_hi,n_bits,n_errors,empirical,predicted,ratio,verdict,agg_empirical,repo_measured_ber,agg_predicted,repo_estimated_ber,status
bpsk_4dB_2000,bpsk,4,2.0,4.0,1,0,0.0,0.02507,,no-power,0.0,0.0,2e-06,2e-06,ok
bpsk_4dB_2000,bpsk,4,4.0,8.0,5,0,0.0,0.002294,,no-power,0.0,0.0,2e-06,2e-06,ok
bpsk_4dB_2000,bpsk,4,8.0,16.0,131,0,0.0,9e-06,,no-power,0.0,0.0,2e-06,2e-06,ok
bpsk_4dB_2000,bpsk,4,16.0,inf,19818,0,0.0,0.0,,no-power,0.0,0.0,2e-06,2e-06,ok
bpsk_8dB_2001,bpsk,8,16.0,inf,19935,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
bpsk_10dB_2002,bpsk,10,16.0,inf,19960,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
bpsk_15dB_2004,bpsk,15,16.0,inf,19923,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
bpsk_20dB_2005,bpsk,20,16.0,inf,19965,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
qpsk_4dB_2006,qpsk,4,0.0,0.5,7,5,0.714286,0.450144,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_4dB_2006,qpsk,4,0.5,1.0,11,5,0.454545,0.306074,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_4dB_2006,qpsk,4,1.0,2.0,28,8,0.285714,0.169612,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_4dB_2006,qpsk,4,2.0,4.0,76,5,0.065789,0.052429,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_4dB_2006,qpsk,4,4.0,8.0,501,0,0.0,0.003163,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_4dB_2006,qpsk,4,8.0,16.0,4942,0,0.0,2.1e-05,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_4dB_2006,qpsk,4,16.0,inf,14370,0,0.0,0.0,,no-power,0.001154,0.001154,0.00085,0.00085,ok
qpsk_8dB_2007,qpsk,8,8.0,16.0,8,0,0.0,1.6e-05,,no-power,0.0,0.0,0.0,0.0,ok
qpsk_8dB_2007,qpsk,8,16.0,inf,19950,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
qpsk_10dB_2008,qpsk,10,16.0,inf,19945,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
qpsk_15dB_2010,qpsk,15,16.0,inf,19960,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
qpsk_20dB_2011,qpsk,20,16.0,inf,19949,0,0.0,0.0,,no-power,0.0,0.0,0.0,0.0,ok
8psk_4dB_2012,8psk,4,0.0,0.5,435,216,0.496552,0.438657,1.132,ok,0.240169,0.240169,0.031112,0.031112,low_confidence
