file,true_mod,snr_db,arm,chosen_mod,mod_correct,status,confidence,est_ber,est_ber_valid,measured_ber,decodes,confidently_wrong,old_rule_ok,lock_failures,chain_runs,secs,reason
16qam_10dB_2020,16qam,10,truth-params,16qam,True,ok,0.7844,0.00284255,True,0.003158,True,False,True,,1,0.262,
16qam_10dB_2020,16qam,10,s2-top,16qam,True,ok,0.7844,0.00284289,True,0.003158,True,False,True,,1,0.241,
16qam_10dB_2020,16qam,10,search,16qam,True,ok,0.7844,0.00284289,True,0.003158,True,False,True,,1,0.273,
16qam_10dB_3020,16qam,10,truth-params,16qam,True,ok,0.8246,0.00221384,True,0.002309,True,False,True,,1,0.273,
16qam_10dB_3020,16qam,10,s2-top,16qam,True,ok,0.8246,0.00221384,True,0.002309,True,False,True,,1,0.239,
16qam_10dB_3020,16qam,10,search,16qam,True,ok,0.8246,0.00221384,True,0.002309,True,False,True,,1,0.261,
16qam_10dB_4020,16qam,10,truth-params,16qam,True,ok,0.8483,0.00262524,True,0.003058,True,False,True,,1,0.281,
16qam_10dB_4020,16qam,10,s2-top,16qam,True,ok,0.8489,0.00262569,True,0.003058,True,False,True,,1,0.255,
16qam_10dB_4020,16qam,10,search,16qam,True,ok,0.8489,0.00262569,True,0.003058,True,False,True,,1,0.317,
16qam_10dB_5020,16qam,10,truth-params,16qam,True,ok,0.7982,0.00229542,True,0.002906,True,False,True,,1,0.295,
16qam_10dB_5020,16qam,10,s2-top,16qam,True,ok,0.7983,0.00229543,True,0.002906,True,False,True,,1,0.259,
16qam_10dB_5020,16qam,10,search,16qam,True,ok,0.7983,0.00229543,True,0.002906,True,False,True,,1,0.309,
16qam_10dB_6020,16qam,10,truth-params,16qam,True,ok,0.8461,0.00255888,True,0.002505,True,False,True,,1,0.289,
16qam_10dB_6020,16qam,10,s2-top,16qam,True,ok,0.8462,0.00255924,True,0.002505,True,False,True,,1,0.285,
