file,true_mod,snr_db,hypothesis,correct,carrier_lock,measured_ber,decodes,status,other_failed
16qam_10dB_2020,16qam,10.0,bpsk,False,0.0147,0.474272,False,low_confidence,output_usable
16qam_10dB_2020,16qam,10.0,qpsk,False,0.2055,0.483525,False,low_confidence,
16qam_10dB_2020,16qam,10.0,8psk,False,0.004,0.481554,False,low_confidence,output_usable
16qam_10dB_2020,16qam,10.0,16qam,True,0.7844,0.003058,True,ok,
16qam_10dB_3020,16qam,10.0,bpsk,False,0.0275,0.476094,False,low_confidence,output_usable
16qam_10dB_3020,16qam,10.0,qpsk,False,0.237,0.483893,False,low_confidence,
16qam_10dB_3020,16qam,10.0,8psk,False,0.006,0.483886,False,low_confidence,output_usable
16qam_10dB_3020,16qam,10.0,16qam,True,0.8246,0.002209,True,ok,
16qam_10dB_4020,16qam,10.0,bpsk,False,0.0197,0.475288,False,low_confidence,output_usable
16qam_10dB_4020,16qam,10.0,qpsk,False,0.2245,0.482792,False,low_confidence,
16qam_10dB_4020,16qam,10.0,8psk,False,0.0282,0.484712,False,low_confidence,output_usable
16qam_10dB_4020,16qam,10.0,16qam,True,0.8483,0.002907,True,ok,
16qam_10dB_5020,16qam,10.0,bpsk,False,0.0203,0.478462,False,low_confidence,output_usable
16qam_10dB_5020,16qam,10.0,qpsk,False,0.2215,0.482578,False,low_confidence,
16qam_10dB_5020,16qam,10.0,8psk,False,0.0238,0.48397,False,low_confidence,output_usable
16qam_10dB_5020,16qam,10.0,16qam,True,0.7982,0.002805,True,ok,
16qam_10dB_6020,16qam,10.0,bpsk,False,0.0213,0.47829,False,low_confidence,output_usable
16qam_10dB_6020,16qam,10.0,qpsk,False,0.2341,0.484211,False,low_confidence,
16qam_10dB_6020,16qam,10.0,8psk,False,0.0322,0.483667,False,low_confidence,output_usable
16qam_10dB_6020,16qam,10.0,16qam,True,0.8461,0.002505,True,ok,
16qam_10dB_7020,16qam,10.0,bpsk,False,0.0191,0.477829,False,low_confidence,output_usable
16qam_10dB_7020,16qam,10.0,qpsk,False,0.2171,0.485107,False,low_confidence,
16qam_10dB_7020,16qam,10.0,8psk,False,0.0519,0.484814,False,low_confidence,output_usable
16qam_10dB_7020,16qam,10.0,16qam,True,0.7933,0.002205,True,ok,
16qam_10dB_8020,16qam,10.0,bpsk,False,0.024,0.477524,False,low_confidence,output_usable
16qam_10dB_8020,16qam,10.0,qpsk,False,0.2453,0.483849,False,low_confidence,
16qam_10dB_8020,16qam,10.0,8psk,False,0.0207,0.484399,False,low_confidence,output_usable
16qam_10dB_8020,16qam,10.0,16qam,True,0.847,0.002458,True,ok,
16qam_13dB_2021,16qam,13.0,bpsk,False,0.0393,0.478325,False,low_confidence,output_usable
16qam_13dB_2021,16qam,13.0,qpsk,False,0.2809,0.484421,False,low_confidence,
16qam_13dB_2021,16qam,13.0,8psk,False,0.0097,0.483353,False,low_confidence,output_usable
16qam_13dB_2021,16qam,13.0,16qam,True,0.9561,0.0001,True,ok,
16qam_13dB_3021,16qam,13.0,bpsk,False,0.0078,0.476201,False,low_confidence,output_usable
16qam_13dB_3021,16qam,13.0,qpsk,False,0.2767,0.481728,False,low_confidence,
16qam_13dB_3021,16qam,13.0,8psk,False,0.0333,0.483216,False,low_confidence,output_usable
16qam_13dB_3021,16qam,13.0,16qam,True,0.9287,5e-05,True,ok,
16qam_13dB_4021,16qam,13.0,bpsk,False,0.0224,0.478354,False,low_confidence,output_usable
16qam_13dB_4021,16qam,13.0,qpsk,False,0.2403,0.484724,False,low_confidence,
16qam_13dB_4021,16qam,13.0,8psk,False,0.0181,0.482921,False,low_confidence,output_usable
16qam_13dB_4021,16qam,13.0,16qam,True,0.8867,0.0,True,ok,
16qam_13dB_5021,16qam,13.0,bpsk,False,0.0194,0.478006,False,low_confidence,output_usable
16qam_13dB_5021,16qam,13.0,qpsk,False,0.2621,0.482348,False,low_confidence,
16qam_13dB_5021,16qam,13.0,8psk,False,0.0234,0.483064,False,low_confidence,output_usable
16qam_13dB_5021,16qam,13.0,16qam,True,0.938,0.0,True,ok,
16qam_13dB_6021,16qam,13.0,bpsk,False,0.0232,0.477211,False,low_confidence,output_usable
16qam_13dB_6021,16qam,13.0,qpsk,False,0.1395,0.484093,False,low_confidence,
16qam_13dB_6021,16qam,13.0,8psk,False,0.0141,0.482861,False,low_confidence,output_usable
16qam_13dB_6021,16qam,13.0,16qam,True,0.892,0.0,True,ok,
16qam_13dB_7021,16qam,13.0,bpsk,False,0.0189,0.472965,False,low_confidence,output_usable
16qam_13dB_7021,16qam,13.0,qpsk,False,0.2568,0.483125,False,low_confidence,
16qam_13dB_7021,16qam,13.0,8psk,False,0.0204,0.483153,False,low_confidence,output_usable
16qam_13dB_7021,16qam,13.0,16qam,True,0.9336,5e-05,True,ok,
16qam_13dB_8021,16qam,13.0,bpsk,False,0.0252,0.477168,False,low_confidence,output_usable
