knob,scheme,file,snr_db,arm,carrier_bw,timing_bw,status,measured_ber,decodes,secs
carrier,16qam,16qam_10dB_2020,10.0,clean,0.005,0.004,ok,0.002857,True,0.23
carrier,16qam,16qam_10dB_3020,10.0,clean,0.005,0.004,ok,0.002008,True,0.215
carrier,16qam,16qam_10dB_4020,10.0,clean,0.005,0.004,ok,0.002556,True,0.216
carrier,16qam,16qam_10dB_5020,10.0,clean,0.005,0.004,ok,0.001653,True,0.219
carrier,16qam,16qam_10dB_6020,10.0,clean,0.005,0.004,ok,0.001854,True,0.219
carrier,16qam,16qam_10dB_7020,10.0,clean,0.005,0.004,ok,0.001854,True,0.217
carrier,16qam,16qam_10dB_8020,10.0,clean,0.005,0.004,ok,0.002057,True,0.221
carrier,16qam,16qam_13dB_2021,13.0,clean,0.005,0.004,ok,0.0001,True,0.214
carrier,16qam,16qam_13dB_3021,13.0,clean,0.005,0.004,ok,5e-05,True,0.216
carrier,16qam,16qam_13dB_4021,13.0,clean,0.005,0.004,ok,0.0,True,0.211
carrier,16qam,16qam_13dB_5021,13.0,clean,0.005,0.004,ok,0.0,True,0.214
carrier,16qam,16qam_13dB_6021,13.0,clean,0.005,0.004,ok,0.0,True,0.213
carrier,16qam,16qam_13dB_7021,13.0,clean,0.005,0.004,ok,5e-05,True,0.212
carrier,16qam,16qam_13dB_8021,13.0,clean,0.005,0.004,ok,5e-05,True,0.215
carrier,16qam,16qam_4dB_2018,4.0,clean,0.005,0.004,low_confidence,0.068849,False,0.206
carrier,16qam,16qam_4dB_3018,4.0,clean,0.005,0.004,low_confidence,0.06676,False,0.209
carrier,16qam,16qam_4dB_4018,4.0,clean,0.005,0.004,low_confidence,0.073128,False,0.214
carrier,16qam,16qam_4dB_5018,4.0,clean,0.005,0.004,low_confidence,0.066556,False,0.209
carrier,16qam,16qam_4dB_6018,4.0,clean,0.005,0.004,low_confidence,0.069868,False,0.209
carrier,16qam,16qam_4dB_7018,4.0,clean,0.005,0.004,low_confidence,0.06656,False,0.208
carrier,16qam,16qam_4dB_8018,4.0,clean,0.005,0.004,low_confidence,0.162807,False,0.202
carrier,16qam,16qam_8dB_2019,8.0,clean,0.005,0.004,ok,0.010068,False,0.215
carrier,16qam,16qam_8dB_3019,8.0,clean,0.005,0.004,ok,0.010236,False,0.214
carrier,16qam,16qam_8dB_4019,8.0,clean,0.005,0.004,ok,0.010688,False,0.214
carrier,16qam,16qam_8dB_5019,8.0,clean,0.005,0.004,ok,0.011286,False,0.222
carrier,16qam,16qam_8dB_6019,8.0,clean,0.005,0.004,ok,0.010332,False,0.215
carrier,16qam,16qam_8dB_7019,8.0,clean,0.005,0.004,ok,0.011386,False,0.213
carrier,16qam,16qam_8dB_8019,8.0,clean,0.005,0.004,ok,0.01002,False,0.217
carrier,8psk,8psk_10dB_2014,10.0,clean,0.005,0.004,ok,0.000251,True,0.307
carrier,8psk,8psk_10dB_3014,10.0,clean,0.005,0.004,ok,0.000301,True,0.32
carrier,8psk,8psk_10dB_4014,10.0,clean,0.005,0.004,ok,0.000351,True,0.31
carrier,8psk,8psk_10dB_5014,10.0,clean,0.005,0.004,ok,0.000201,True,0.31
carrier,8psk,8psk_10dB_6014,10.0,clean,0.005,0.004,ok,0.000201,True,0.31
carrier,8psk,8psk_10dB_7014,10.0,clean,0.005,0.004,ok,0.00015,True,0.304
carrier,8psk,8psk_10dB_8014,10.0,clean,0.005,0.004,ok,0.000201,True,0.318
carrier,8psk,8psk_13dB_2015,13.0,clean,0.005,0.004,ok,0.0,True,0.308
carrier,8psk,8psk_13dB_3015,13.0,clean,0.005,0.004,ok,0.0,True,0.32
carrier,8psk,8psk_13dB_4015,13.0,clean,0.005,0.004,ok,0.0,True,0.3
carrier,8psk,8psk_13dB_5015,13.0,clean,0.005,0.004,ok,0.0,True,0.302
carrier,8psk,8psk_13dB_6015,13.0,clean,0.005,0.004,ok,0.0,True,0.318
carrier,8psk,8psk_13dB_7015,13.0,clean,0.005,0.004,ok,0.0,True,0.307
carrier,8psk,8psk_13dB_8015,13.0,clean,0.005,0.004,ok,0.0,True,0.303
carrier,8psk,8psk_4dB_2012,4.0,clean,0.005,0.004,low_confidence,0.03125,False,0.303
carrier,8psk,8psk_4dB_3012,4.0,clean,0.005,0.004,low_confidence,0.032171,False,0.305
carrier,8psk,8psk_4dB_4012,4.0,clean,0.005,0.004,low_confidence,0.03033,False,0.318
carrier,8psk,8psk_4dB_5012,4.0,clean,0.005,0.004,low_confidence,0.034524,False,0.307
carrier,8psk,8psk_4dB_6012,4.0,clean,0.005,0.004,low_confidence,0.031537,False,0.313
carrier,8psk,8psk_4dB_7012,4.0,clean,0.005,0.004,low_confidence,0.031884,False,0.303
carrier,8psk,8psk_4dB_8012,4.0,clean,0.005,0.004,low_confidence,0.032502,False,0.304
carrier,8psk,8psk_8dB_2013,8.0,clean,0.005,0.004,ok,0.002204,True,0.31
carrier,8psk,8psk_8dB_3013,8.0,clean,0.005,0.004,ok,0.002455,True,0.307
carrier,8psk,8psk_8dB_4013,8.0,clean,0.005,0.004,ok,0.002506,True,0.306
carrier,8psk,8psk_8dB_5013,8.0,clean,0.005,0.004,ok,0.002457,True,0.317
carrier,8psk,8psk_8dB_6013,8.0,clean,0.005,0.004,ok,0.002758,True,0.323
carrier,8psk,8psk_8dB_7013,8.0,clean,0.005,0.004,ok,0.002508,True,0.3
carrier,8psk,8psk_8dB_8013,8.0,clean,0.005,0.004,ok,0.002504,True,0.303
carrier,bpsk,bpsk_10dB_2002,10.0,clean,0.005,0.004,ok,0.0,True,0.78
carrier,bpsk,bpsk_10dB_3002,10.0,clean,0.005,0.004,ok,0.0,True,0.829
carrier,bpsk,bpsk_10dB_4002,10.0,clean,0.005,0.004,ok,0.0,True,0.786
carrier,bpsk,bpsk_10dB_5002,10.0,clean,0.005,0.004,ok,0.0,True,0.781
carrier,bpsk,bpsk_10dB_6002,10.0,clean,0.005,0.004,ok,0.0,True,0.773
carrier,bpsk,bpsk_10dB_7002,10.0,clean,0.005,0.004,ok,0.0,True,0.775
carrier,bpsk,bpsk_10dB_8002,10.0,clean,0.005,0.004,ok,0.0,True,0.799
carrier,bpsk,bpsk_13dB_2003,13.0,clean,0.005,0.004,ok,0.0,True,0.789
carrier,bpsk,bpsk_13dB_3003,13.0,clean,0.005,0.004,ok,0.0,True,0.778
