kind,file,true_mod,true_family,snr_db,family_asked,proposed_rate,true_rate,rel_error,score,screen
corpus,16qam_10dB_2020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,35.632,pass
corpus,16qam_10dB_2020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,14.199,pass
corpus,16qam_10dB_3020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,38.09,pass
corpus,16qam_10dB_3020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,13.343,pass
corpus,16qam_10dB_4020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,34.64,pass
corpus,16qam_10dB_4020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,12.445,pass
corpus,16qam_10dB_5020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,34.366,pass
corpus,16qam_10dB_5020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,13.823,pass
corpus,16qam_10dB_6020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,37.229,pass
corpus,16qam_10dB_6020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,12.914,pass
corpus,16qam_10dB_7020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,38.795,pass
corpus,16qam_10dB_7020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,11.932,pass
corpus,16qam_10dB_8020,16qam,psk,10.0,psk,50000.0,50000.0,0.0,37.955,pass
corpus,16qam_10dB_8020,16qam,psk,10.0,fsk,50000.0,50000.0,0.0,13.422,pass
corpus,16qam_13dB_2021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,44.034,pass
corpus,16qam_13dB_2021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,19.084,pass
corpus,16qam_13dB_3021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,44.858,pass
corpus,16qam_13dB_3021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,17.863,pass
corpus,16qam_13dB_4021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,47.872,pass
corpus,16qam_13dB_4021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,17.233,pass
corpus,16qam_13dB_5021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,42.28,pass
corpus,16qam_13dB_5021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,17.572,pass
corpus,16qam_13dB_6021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,43.968,pass
corpus,16qam_13dB_6021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,16.128,pass
corpus,16qam_13dB_7021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,45.171,pass
corpus,16qam_13dB_7021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,19.739,pass
corpus,16qam_13dB_8021,16qam,psk,13.0,psk,50000.0,50000.0,0.0,41.868,pass
corpus,16qam_13dB_8021,16qam,psk,13.0,fsk,50000.0,50000.0,0.0,18.85,pass
corpus,16qam_15dB_2022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,48.591,pass
corpus,16qam_15dB_2022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,20.074,pass
corpus,16qam_15dB_3022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,46.623,pass
corpus,16qam_15dB_3022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,21.185,pass
corpus,16qam_15dB_4022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,49.595,pass
corpus,16qam_15dB_4022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,20.78,pass
corpus,16qam_15dB_5022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,45.086,pass
corpus,16qam_15dB_5022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,21.725,pass
corpus,16qam_15dB_6022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,49.419,pass
corpus,16qam_15dB_6022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,21.441,pass
corpus,16qam_15dB_7022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,44.886,pass
corpus,16qam_15dB_7022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,21.013,pass
corpus,16qam_15dB_8022,16qam,psk,15.0,psk,50000.0,50000.0,0.0,49.32,pass
corpus,16qam_15dB_8022,16qam,psk,15.0,fsk,50000.0,50000.0,0.0,21.575,pass
corpus,16qam_20dB_2023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,50.33,pass
corpus,16qam_20dB_2023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,29.751,pass
corpus,16qam_20dB_3023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,55.673,pass
corpus,16qam_20dB_3023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,29.126,pass
corpus,16qam_20dB_4023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,55.662,pass
corpus,16qam_20dB_4023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,28.433,pass
corpus,16qam_20dB_5023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,54.413,pass
corpus,16qam_20dB_5023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,28.736,pass
corpus,16qam_20dB_6023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,55.452,pass
corpus,16qam_20dB_6023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,31.089,pass
corpus,16qam_20dB_7023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,52.606,pass
corpus,16qam_20dB_7023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,28.378,pass
corpus,16qam_20dB_8023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,55.361,pass
corpus,16qam_20dB_8023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,28.901,pass
corpus,16qam_4dB_2018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,20.224,pass
corpus,16qam_4dB_2018,16qam,psk,4.0,fsk,11254.88,50000.0,0.774902,3.812,fail
corpus,16qam_4dB_3018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,20.528,pass
corpus,16qam_4dB_3018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,6.354,unknown
corpus,16qam_4dB_4018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,23.4,pass
corpus,16qam_4dB_4018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.314,unknown
corpus,16qam_4dB_5018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,19.85,pass
corpus,16qam_4dB_5018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.776,unknown
corpus,16qam_4dB_6018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,21.537,pass
corpus,16qam_4dB_6018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.675,unknown
corpus,16qam_4dB_7018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,19.694,pass
corpus,16qam_4dB_7018,16qam,psk,4.0,fsk,7897.95,50000.0,0.842041,3.81,fail
corpus,16qam_4dB_8018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,22.424,pass
corpus,16qam_4dB_8018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.863,unknown
corpus,16qam_8dB_2019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,30.925,pass
corpus,16qam_8dB_2019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,10.487,pass
corpus,16qam_8dB_3019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,33.099,pass
corpus,16qam_8dB_3019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,9.061,pass
corpus,16qam_8dB_4019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,28.447,pass
corpus,16qam_8dB_4019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,10.197,pass
corpus,16qam_8dB_5019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,31.447,pass
corpus,16qam_8dB_5019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,8.657,pass
corpus,16qam_8dB_6019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,31.651,pass
corpus,16qam_8dB_6019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,9.988,pass
corpus,16qam_8dB_7019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,30.974,pass
corpus,16qam_8dB_7019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,9.634,pass
corpus,16qam_8dB_8019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,32.64,pass
corpus,16qam_8dB_8019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,10.598,pass
