file,true_mod,rel_error,status,measured_ber
16qam_20dB_2023,16qam,0.0,ok,0.0
16qam_20dB_2023,16qam,1e-06,ok,0.0
16qam_20dB_2023,16qam,1e-05,ok,0.0
16qam_20dB_2023,16qam,2.5e-05,ok,0.0
16qam_20dB_2023,16qam,5e-05,ok,0.0
16qam_20dB_2023,16qam,0.0001,ok,0.0
16qam_20dB_2023,16qam,0.0002,ok,0.0
16qam_20dB_2023,16qam,0.0005,failed,1.0
16qam_20dB_2023,16qam,0.001,failed,1.0
2fsk_20dB_2029,2fsk,0.0,ok,0.0
2fsk_20dB_2029,2fsk,1e-06,ok,0.0
2fsk_20dB_2029,2fsk,1e-05,ok,0.0
2fsk_20dB_2029,2fsk,2.5e-05,ok,0.0
2fsk_20dB_2029,2fsk,5e-05,ok,0.0
2fsk_20dB_2029,2fsk,0.0001,failed,1.0
2fsk_20dB_2029,2fsk,0.0002,failed,1.0
2fsk_20dB_2029,2fsk,0.0005,failed,1.0
2fsk_20dB_2029,2fsk,0.001,failed,1.0
4fsk_20dB_2035,4fsk,0.0,ok,0.0
4fsk_20dB_2035,4fsk,1e-06,ok,0.0
4fsk_20dB_2035,4fsk,1e-05,ok,0.0
4fsk_20dB_2035,4fsk,2.5e-05,ok,0.0
4fsk_20dB_2035,4fsk,5e-05,ok,0.0
4fsk_20dB_2035,4fsk,0.0001,ok,0.0
4fsk_20dB_2035,4fsk,0.0002,failed,1.0
4fsk_20dB_2035,4fsk,0.0005,failed,1.0
4fsk_20dB_2035,4fsk,0.001,failed,1.0
8psk_20dB_2017,8psk,0.0,ok,0.0
8psk_20dB_2017,8psk,1e-06,ok,0.0
8psk_20dB_2017,8psk,1e-05,ok,0.0
8psk_20dB_2017,8psk,2.5e-05,ok,0.0
8psk_20dB_2017,8psk,5e-05,ok,0.0
8psk_20dB_2017,8psk,0.0001,ok,0.0
8psk_20dB_2017,8psk,0.0002,ok,0.0
8psk_20dB_2017,8psk,0.0005,failed,1.0
8psk_20dB_2017,8psk,0.001,failed,1.0
bpsk_20dB_2005,bpsk,0.0,ok,0.0
bpsk_20dB_2005,bpsk,1e-06,ok,0.0
bpsk_20dB_2005,bpsk,1e-05,ok,0.0
bpsk_20dB_2005,bpsk,2.5e-05,ok,0.0
bpsk_20dB_2005,bpsk,5e-05,ok,0.0
bpsk_20dB_2005,bpsk,0.0001,failed,1.0
bpsk_20dB_2005,bpsk,0.0002,failed,1.0
bpsk_20dB_2005,bpsk,0.0005,failed,1.0
bpsk_20dB_2005,bpsk,0.001,failed,1.0
qpsk_20dB_2011,qpsk,0.0,ok,0.0
qpsk_20dB_2011,qpsk,1e-06,ok,0.0
qpsk_20dB_2011,qpsk,1e-05,ok,0.0
qpsk_20dB_2011,qpsk,2.5e-05,ok,0.0
qpsk_20dB_2011,qpsk,5e-05,ok,0.0
qpsk_20dB_2011,qpsk,0.0001,ok,0.0
qpsk_20dB_2011,qpsk,0.0002,failed,1.0
qpsk_20dB_2011,qpsk,0.0005,failed,1.0
qpsk_20dB_2011,qpsk,0.001,failed,1.0
