arm,modulation,snr_db,rotation,s3_status,carrier_lock,estimated_ber,raw_ber,mean_burst_len,frac_errors_in_bursts,s4_status,s4_confidence,s4_period,s4_generators,s4_method,generators_correct,false_code_claimed,recovered,s3_ms,s4_ms,s3_reason
interleaved,qpsk,10,0,ok,0.8978,0.0,0.2506,1.0,0.0,low_confidence,0.35,96,,exact,False,False,False,3011.3,8383.3,
interleaved,qpsk,10,1,ok,0.8978,0.0,1.0,60000.0,1.0,ok,0.95,96,"(121, 91)",exact,True,False,True,3011.3,1686.4,
interleaved,qpsk,10,2,ok,0.8978,0.0,0.7494,2.99,0.834,low_confidence,0.35,96,,exact,False,False,False,3011.3,8275.8,
interleaved,qpsk,10,3,ok,0.8978,0.0,0.0,0.0,0.0,ok,0.95,96,"(121, 91)",exact,True,False,True,3011.3,195.3,
interleaved,qpsk,6,0,ok,0.7606,5e-05,0.250717,1.0,0.001,low_confidence,0.35,96,,exact,False,False,False,3563.9,8611.1,
interleaved,qpsk,6,1,ok,0.7606,5e-05,0.999883,7499.125,1.0,low_confidence,0.35,96,,exact,False,False,False,3563.9,9120.2,
interleaved,qpsk,6,2,ok,0.7606,5e-05,0.749283,2.99,0.834,low_confidence,0.35,96,,exact,False,False,False,3563.9,8860.4,
interleaved,qpsk,6,3,ok,0.7606,5e-05,0.000117,1.0,0.0,low_confidence,0.35,96,,exact,False,False,False,3563.9,8671.3,
interleaved,qpsk,5,0,ok,0.7067,0.000246,0.250817,1.001,0.001,low_confidence,0.35,96,,exact,False,False,False,3348.7,8389.7,
interleaved,qpsk,5,1,ok,0.7067,0.000246,0.99975,3749.062,1.0,low_confidence,0.35,96,,exact,False,False,False,3348.7,8244.1,
interleaved,qpsk,5,2,ok,0.7067,0.000246,0.749183,2.989,0.834,low_confidence,0.35,96,,exact,False,False,False,3348.7,8857.2,
interleaved,qpsk,5,3,ok,0.7067,0.000246,0.00025,1.0,0.0,low_confidence,0.35,96,,exact,False,False,False,3348.7,8223.3,
interleaved,qpsk,4,0,ok,0.6437,0.000964,0.251117,1.002,0.004,low_confidence,0.35,96,,exact,False,False,False,3204.2,8684.7,
interleaved,qpsk,4,1,ok,0.6437,0.000964,0.999017,999.017,1.0,low_confidence,0.35,96,,exact,False,False,False,3204.2,8730.9,
interleaved,qpsk,4,2,ok,0.6437,0.000964,0.748883,2.988,0.834,low_confidence,0.35,96,,exact,False,False,False,3204.2,8507.1,
interleaved,qpsk,4,3,ok,0.6437,0.000964,0.000983,1.0,0.0,low_confidence,0.35,96,,exact,False,False,False,3204.2,8179.9,
interleaved,bpsk,4,0,ok,0.8728,8e-06,1.0,60000.0,1.0,low_confidence,0.35,96,,exact,False,False,False,5626.7,8256.2,
interleaved,bpsk,4,1,ok,0.8728,8e-06,0.0,0.0,0.0,low_confidence,0.35,96,,exact,False,False,False,5626.7,8106.9,
interleaved,bpsk,2,0,ok,0.801,0.000298,0.99985,5999.1,1.0,low_confidence,0.35,96,,exact,False,False,False,5679.6,8957.7,
interleaved,bpsk,2,1,ok,0.801,0.000298,0.00015,1.0,0.0,low_confidence,0.35,96,,exact,False,False,False,5679.6,8900.7,
interleaved,bpsk,1,0,ok,0.7536,0.001157,0.999217,1249.021,1.0,low_confidence,0.35,96,,exact,False,False,False,6564.7,8617.5,
interleaved,bpsk,1,1,ok,0.7536,0.001157,0.000783,1.0,0.0,low_confidence,0.35,96,,exact,False,False,False,6564.7,8967.0,
interleaved,8psk,14,0,ok,0.8445,0.0,0.671967,3.282,0.819,low_confidence,0.35,192,,exact,False,False,False,2602.5,8536.7,
interleaved,8psk,14,1,ok,0.8445,0.0,0.666667,2.0,1.0,low_confidence,0.35,96,,exact,False,False,False,2602.5,8854.2,
interleaved,8psk,14,2,ok,0.8445,0.0,0.661367,3.119,0.806,low_confidence,0.35,192,,exact,False,False,False,2602.5,9257.2,
interleaved,8psk,14,3,ok,0.8445,0.0,0.667567,2.686,0.878,low_confidence,0.35,96,,exact,False,False,False,2602.5,8779.7,
interleaved,8psk,14,4,ok,0.8445,0.0,0.333333,1.139,0.244,low_confidence,0.35,192,,exact,False,False,False,2602.5,9464.2,
interleaved,8psk,14,5,ok,0.8445,0.0,0.0,0.0,0.0,ok,0.95,96,"(121, 91)",exact,True,False,True,2602.5,123.9,
interleaved,8psk,14,6,ok,0.8445,0.0,0.333333,1.147,0.256,low_confidence,0.35,192,,exact,False,False,False,2602.5,9172.8,
interleaved,8psk,14,7,ok,0.8445,0.0,0.6692,2.684,0.879,low_confidence,0.35,96,,exact,False,False,False,2602.5,8767.5,
interleaved,8psk,10,0,ok,0.657,0.000279,0.672317,3.285,0.82,low_confidence,0.35,192,,exact,False,False,False,2300.7,8830.4,
interleaved,8psk,10,1,ok,0.657,0.000279,0.666617,2.0,1.0,low_confidence,0.35,96,,exact,False,False,False,2300.7,8115.4,
interleaved,8psk,10,2,ok,0.657,0.000279,0.661017,3.114,0.805,low_confidence,0.35,192,,exact,False,False,False,2300.7,8337.4,
