file,true_mod,snr_db,candidates,survivors,measurements,chain_runs,secs,status,chosen_mod,budget_exhausted
16qam_10dB_2020,16qam,10,42,12,15,1,0.316,ok,16qam,False
16qam_10dB_3020,16qam,10,42,12,15,1,0.338,ok,16qam,False
16qam_10dB_4020,16qam,10,36,6,14,1,0.312,ok,16qam,False
16qam_10dB_5020,16qam,10,36,6,14,1,0.31,ok,16qam,False
16qam_10dB_6020,16qam,10,36,6,14,1,0.299,ok,16qam,False
16qam_10dB_7020,16qam,10,36,12,14,1,0.3,ok,16qam,False
16qam_10dB_8020,16qam,10,42,12,15,1,0.321,ok,16qam,False
16qam_13dB_2021,16qam,13,36,6,14,1,0.293,ok,16qam,False
16qam_13dB_3021,16qam,13,36,6,14,1,0.342,ok,16qam,False
16qam_13dB_4021,16qam,13,36,12,14,1,0.326,ok,16qam,False
16qam_13dB_5021,16qam,13,36,12,14,1,0.295,ok,16qam,False
16qam_13dB_6021,16qam,13,36,6,14,1,0.296,ok,16qam,False
16qam_13dB_7021,16qam,13,36,6,14,1,0.325,ok,16qam,False
16qam_13dB_8021,16qam,13,42,12,15,1,0.302,ok,16qam,False
16qam_15dB_2022,16qam,15,42,12,15,1,0.291,ok,16qam,False
16qam_15dB_3022,16qam,15,36,6,14,1,0.292,ok,16qam,False
16qam_15dB_4022,16qam,15,36,6,14,1,0.314,ok,16qam,False
16qam_15dB_5022,16qam,15,42,12,15,1,0.298,ok,16qam,False
16qam_15dB_6022,16qam,15,42,12,15,1,0.309,ok,16qam,False
16qam_15dB_7022,16qam,15,36,12,14,1,0.3,ok,16qam,False
16qam_15dB_8022,16qam,15,36,12,14,1,0.299,ok,16qam,False
16qam_20dB_2023,16qam,20,36,12,14,1,0.298,ok,16qam,False
16qam_20dB_3023,16qam,20,36,12,14,1,0.299,ok,16qam,False
16qam_20dB_4023,16qam,20,42,12,15,1,0.305,ok,16qam,False
16qam_20dB_5023,16qam,20,36,12,14,1,0.311,ok,16qam,False
16qam_20dB_6023,16qam,20,36,12,14,1,0.297,ok,16qam,False
16qam_20dB_7023,16qam,20,42,12,15,1,0.314,ok,16qam,False
16qam_20dB_8023,16qam,20,42,12,15,1,0.299,ok,16qam,False
16qam_4dB_2018,16qam,4,60,12,16,12,3.187,low_confidence,16qam,False
16qam_4dB_3018,16qam,4,60,18,16,12,2.106,low_confidence,4fsk,True
16qam_4dB_4018,16qam,4,60,18,16,12,2.111,low_confidence,2fsk,True
16qam_4dB_5018,16qam,4,54,6,15,6,1.064,low_confidence,2fsk,False
16qam_4dB_6018,16qam,4,48,12,15,12,2.131,low_confidence,2fsk,False
16qam_4dB_7018,16qam,4,40,12,15,12,2.133,low_confidence,2fsk,False
16qam_4dB_8018,16qam,4,54,6,15,6,1.113,low_confidence,2fsk,False
16qam_8dB_2019,16qam,8,36,12,14,1,0.285,ok,16qam,False
16qam_8dB_3019,16qam,8,42,12,15,1,0.294,ok,16qam,False
16qam_8dB_4019,16qam,8,42,12,15,1,0.29,ok,16qam,False
16qam_8dB_5019,16qam,8,36,12,14,1,0.29,ok,16qam,False
16qam_8dB_6019,16qam,8,36,6,14,1,0.284,ok,16qam,False
16qam_8dB_7019,16qam,8,36,12,14,1,0.301,ok,16qam,False
16qam_8dB_8019,16qam,8,42,12,15,1,0.294,ok,16qam,False
2fsk_10dB_2026,2fsk,10,22,2,15,1,0.305,ok,2fsk,False
2fsk_10dB_3026,2fsk,10,22,6,16,1,0.371,ok,2fsk,False
2fsk_10dB_4026,2fsk,10,22,2,15,1,0.336,ok,2fsk,False
2fsk_10dB_5026,2fsk,10,22,2,15,1,0.308,ok,2fsk,False
2fsk_10dB_6026,2fsk,10,22,2,15,1,0.338,ok,2fsk,False
2fsk_10dB_7026,2fsk,10,22,2,15,1,0.386,ok,2fsk,False
2fsk_10dB_8026,2fsk,10,22,2,15,1,0.372,ok,2fsk,False
2fsk_13dB_2027,2fsk,13,22,2,15,1,0.313,ok,2fsk,False
2fsk_13dB_3027,2fsk,13,22,2,15,1,0.321,ok,2fsk,False
2fsk_13dB_4027,2fsk,13,28,2,15,1,0.328,ok,2fsk,False
2fsk_13dB_5027,2fsk,13,22,2,15,1,0.329,ok,2fsk,False
2fsk_13dB_6027,2fsk,13,22,4,16,1,0.312,ok,2fsk,False
2fsk_13dB_7027,2fsk,13,22,2,15,1,0.31,ok,2fsk,False
2fsk_13dB_8027,2fsk,13,22,2,15,1,0.301,ok,2fsk,False
2fsk_15dB_2028,2fsk,15,22,2,15,1,0.302,ok,2fsk,False
2fsk_15dB_3028,2fsk,15,22,2,15,1,0.301,ok,2fsk,False
2fsk_15dB_4028,2fsk,15,22,2,15,1,0.314,ok,2fsk,False
2fsk_15dB_5028,2fsk,15,22,2,15,1,0.352,ok,2fsk,False
2fsk_15dB_6028,2fsk,15,22,2,15,1,0.305,ok,2fsk,False
2fsk_15dB_7028,2fsk,15,22,2,15,1,0.325,ok,2fsk,False
2fsk_15dB_8028,2fsk,15,22,2,15,1,0.297,ok,2fsk,False
2fsk_20dB_2029,2fsk,20,22,2,15,1,0.309,ok,2fsk,False
2fsk_20dB_3029,2fsk,20,22,2,15,1,0.309,ok,2fsk,False
2fsk_20dB_4029,2fsk,20,22,2,15,1,0.317,ok,2fsk,False
2fsk_20dB_5029,2fsk,20,22,2,15,1,0.325,ok,2fsk,False
2fsk_20dB_6029,2fsk,20,22,2,15,1,0.32,ok,2fsk,False
2fsk_20dB_7029,2fsk,20,22,2,15,1,0.384,ok,2fsk,False
2fsk_20dB_8029,2fsk,20,22,2,15,1,0.308,ok,2fsk,False
2fsk_4dB_2024,2fsk,4,80,2,17,2,0.425,ok,2fsk,False
2fsk_4dB_3024,2fsk,4,96,2,19,2,0.504,ok,2fsk,False
2fsk_4dB_4024,2fsk,4,72,10,24,10,8.464,ok,2fsk,False
2fsk_4dB_5024,2fsk,4,80,6,21,6,4.116,ok,2fsk,False
2fsk_4dB_6024,2fsk,4,60,2,16,2,0.434,ok,2fsk,False
2fsk_4dB_7024,2fsk,4,40,2,15,2,0.392,ok,2fsk,False
2fsk_4dB_8024,2fsk,4,60,6,19,6,6.37,ok,2fsk,False
2fsk_8dB_2025,2fsk,8,40,2,15,2,0.401,ok,2fsk,False
2fsk_8dB_3025,2fsk,8,48,2,17,2,0.416,ok,2fsk,False
2fsk_8dB_4025,2fsk,8,60,6,19,6,2.251,ok,2fsk,False
2fsk_8dB_5025,2fsk,8,40,2,15,2,0.434,ok,2fsk,False
2fsk_8dB_6025,2fsk,8,40,2,15,2,0.388,ok,2fsk,False
2fsk_8dB_7025,2fsk,8,72,2,18,2,0.444,ok,2fsk,False
2fsk_8dB_8025,2fsk,8,60,2,16,2,0.412,ok,2fsk,False
4fsk_10dB_2032,4fsk,10,22,2,15,1,0.166,ok,4fsk,False
4fsk_10dB_3032,4fsk,10,22,2,15,1,0.137,ok,4fsk,False
4fsk_10dB_4032,4fsk,10,22,2,15,1,0.138,ok,4fsk,False
4fsk_10dB_5032,4fsk,10,22,6,16,1,0.141,ok,4fsk,False
4fsk_10dB_6032,4fsk,10,22,2,15,1,0.132,ok,4fsk,False
4fsk_10dB_7032,4fsk,10,22,2,15,1,0.134,ok,4fsk,False
4fsk_10dB_8032,4fsk,10,22,2,15,1,0.136,ok,4fsk,False
4fsk_13dB_2033,4fsk,13,28,2,15,1,0.131,ok,4fsk,False
4fsk_13dB_3033,4fsk,13,22,2,15,1,0.135,ok,4fsk,False
4fsk_13dB_4033,4fsk,13,22,2,15,1,0.129,ok,4fsk,False
4fsk_13dB_5033,4fsk,13,22,2,15,1,0.137,ok,4fsk,False
4fsk_13dB_6033,4fsk,13,22,2,15,1,0.131,ok,4fsk,False
4fsk_13dB_7033,4fsk,13,22,2,15,1,0.133,ok,4fsk,False
4fsk_13dB_8033,4fsk,13,22,2,15,1,0.132,ok,4fsk,False
4fsk_15dB_2034,4fsk,15,22,2,15,1,0.131,ok,4fsk,False
4fsk_15dB_3034,4fsk,15,22,2,15,1,0.129,ok,4fsk,False
4fsk_15dB_4034,4fsk,15,22,2,15,1,0.132,ok,4fsk,False
4fsk_15dB_5034,4fsk,15,22,2,15,1,0.132,ok,4fsk,False
4fsk_15dB_6034,4fsk,15,22,2,15,1,0.132,ok,4fsk,False
4fsk_15dB_7034,4fsk,15,22,2,15,1,0.139,ok,4fsk,False
4fsk_15dB_8034,4fsk,15,22,2,15,1,0.148,ok,4fsk,False
4fsk_20dB_2035,4fsk,20,22,2,15,2,0.159,ok,4fsk,False
4fsk_20dB_3035,4fsk,20,22,2,15,2,0.164,ok,4fsk,False
4fsk_20dB_4035,4fsk,20,22,2,15,2,0.161,ok,4fsk,False
4fsk_20dB_5035,4fsk,20,22,2,15,2,0.161,ok,4fsk,False
4fsk_20dB_6035,4fsk,20,22,2,15,1,0.131,ok,4fsk,False
4fsk_20dB_7035,4fsk,20,22,2,15,2,0.179,ok,4fsk,False
4fsk_20dB_8035,4fsk,20,22,2,15,2,0.162,ok,4fsk,False
4fsk_4dB_2030,4fsk,4,60,2,16,2,0.164,ok,4fsk,False
4fsk_4dB_3030,4fsk,4,74,4,19,4,0.256,ok,4fsk,False
4fsk_4dB_4030,4fsk,4,72,2,18,2,0.161,ok,4fsk,False
4fsk_4dB_5030,4fsk,4,60,2,16,2,0.181,ok,4fsk,False
4fsk_4dB_6030,4fsk,4,62,4,17,4,0.297,ok,4fsk,False
4fsk_4dB_7030,4fsk,4,74,4,19,4,0.244,ok,4fsk,False
4fsk_4dB_8030,4fsk,4,48,2,17,2,0.163,ok,4fsk,False
4fsk_8dB_2031,4fsk,8,48,10,21,10,4.219,ok,4fsk,False
4fsk_8dB_3031,4fsk,8,48,2,17,2,0.183,ok,4fsk,False
4fsk_8dB_4031,4fsk,8,74,4,19,4,0.248,ok,4fsk,False
4fsk_8dB_5031,4fsk,8,40,2,15,2,0.163,ok,4fsk,False
4fsk_8dB_6031,4fsk,8,74,4,19,4,0.249,ok,4fsk,False
4fsk_8dB_7031,4fsk,8,58,20,24,12,1.949,ok,4fsk,True
4fsk_8dB_8031,4fsk,8,74,4,19,4,0.239,ok,4fsk,False
8psk_10dB_2014,8psk,10,60,18,16,1,0.413,ok,8psk,False
8psk_10dB_3014,8psk,10,60,18,16,1,0.425,ok,8psk,False
8psk_10dB_4014,8psk,10,60,12,16,1,0.452,ok,8psk,False
8psk_10dB_5014,8psk,10,54,6,15,1,0.417,ok,8psk,False
8psk_10dB_6014,8psk,10,60,18,16,1,0.426,ok,8psk,False
8psk_10dB_7014,8psk,10,60,12,16,1,0.434,ok,8psk,False
8psk_10dB_8014,8psk,10,54,18,15,1,0.409,ok,8psk,False
8psk_13dB_2015,8psk,13,60,12,16,1,0.461,ok,8psk,False
8psk_13dB_3015,8psk,13,60,12,16,1,0.416,ok,8psk,False
8psk_13dB_4015,8psk,13,36,6,14,1,0.39,ok,8psk,False
8psk_13dB_5015,8psk,13,36,6,14,1,0.407,ok,8psk,False
8psk_13dB_6015,8psk,13,60,18,16,1,0.412,ok,8psk,False
8psk_13dB_7015,8psk,13,54,12,15,1,0.409,ok,8psk,False
