scheme,snr_db,seed,s3_ok,period_ok,interleaver_ok,generators_ok,status,reason,rotation,used_fallback,s3_est_ber,s3_est_ber_valid,s3_evm,seconds
16qam,10,2020,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.0028483722632630447,1,16.508237371363343,26.6
16qam,13,2021,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,7.478717775357584e-05,1,11.713773379486268,31.2
16qam,15,2022,1,1,1,1,ok,,0,0,7.088788820089506e-08,1,9.39968319001028,1.6
16qam,20,2023,1,1,1,1,ok,,0,0,1.213462645708743e-31,1,5.640925835962143,1.5
16qam,4,2018,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.047028866418946026,0,27.167900599621408,0.4
16qam,8,2019,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.010708665685556219,1,19.929191921585275,26.3
2fsk,10,2026,1,1,1,1,ok,,0,0,5.854693801176271e-14,1,-1.0,0.3
2fsk,13,2027,1,1,1,1,ok,,0,0,1.1138327620525426e-38,1,-1.0,0.3
2fsk,15,2028,1,1,1,1,ok,,0,0,9.824689705117176e-62,1,-1.0,0.3
2fsk,20,2029,1,1,1,1,ok,,0,0,1.3838965267367373e-87,1,-1.0,0.3
2fsk,4,2024,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.0029902511425009813,1,-1.0,9.2
2fsk,8,2025,1,1,1,1,ok,,0,0,2.4161442079873486e-07,1,-1.0,0.3
4fsk,10,2032,1,1,1,1,ok,,0,0,1.208754420131206e-14,1,-1.0,0.3
4fsk,13,2033,1,1,1,1,ok,,0,0,9.329203953503773e-37,1,-1.0,0.3
4fsk,15,2034,1,1,1,1,ok,,0,0,7.327965262881593e-64,1,-1.0,0.3
4fsk,20,2035,1,1,1,1,ok,,0,0,1.3838965267367376e-87,1,-1.0,0.4
4fsk,4,2030,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.00438201107175712,1,-1.0,8.9
4fsk,8,2031,1,1,1,1,ok,,0,0,8.551891821756983e-07,1,-1.0,0.3
8psk,10,2014,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.00031215165850613134,1,15.990416876085037,28.2
8psk,13,2015,1,1,1,1,ok,,0,0,1.5669741305527423e-07,1,11.512092391271086,2.8
8psk,15,2016,1,1,1,1,ok,,0,0,1.2555718870624065e-16,1,8.972252064483182,2.1
8psk,20,2017,1,1,1,1,ok,,0,0,5.980559574863196e-65,1,5.087344923196673,2.9
8psk,4,2012,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.029401899676588832,0,29.51255393509216,27.2
8psk,8,2013,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.0028060516715618967,0,20.163147180739045,28.1
bpsk,10,2002,1,1,1,1,ok,,0,0,1.0752628111032805e-39,1,16.70897922832423,2.2
bpsk,13,2003,1,1,1,1,ok,,0,0,1.3838965267367373e-87,1,11.502202534745399,2.8
bpsk,15,2004,1,1,1,1,ok,,0,0,1.3838965267367373e-87,1,9.27105136182233,2.9
bpsk,20,2005,1,1,1,1,ok,,0,0,1.3838965267367373e-87,1,5.157593332380659,2.1
bpsk,4,2000,1,1,1,1,ok,,0,0,1.516513451770051e-06,1,33.408763432230415,2.2
bpsk,8,2001,1,1,1,1,ok,,0,0,6.201934434124908e-21,1,20.96118556014024,2.2
qpsk,10,2008,1,1,1,1,ok,,0,0,4.5291393839021664e-14,1,16.126077887776304,2.0
qpsk,13,2009,1,1,1,1,ok,,0,0,6.233980286215921e-41,1,11.391208707515188,1.9
qpsk,15,2010,1,1,1,1,ok,,0,0,5.06874339508056e-73,1,9.01872108301911,1.9
qpsk,20,2011,1,1,1,1,ok,,0,0,1.3838965267367373e-87,1,5.162715644436817,1.9
qpsk,4,2006,1,0,0,0,declined,no rotation produced a confident recovery,-1,0,0.0009652069117028442,1,31.311782886008277,28.9
qpsk,8,2007,1,1,1,1,ok,,0,0,3.804883451420783e-09,1,20.257730789430262,2.5
